,Eval_Dataset,OUT_Lower_Uppdated_embedding_Reviews_NEW_OUTPUT_11_WN_DP_Unique_Useful.vec.json_entities_vecReviews_NEW_OUTPUT_11_WN_DP_Unique_Useful.txt,OUT_CO_NEW1_embedding_Reviews_NEW_OUTPUT_11_WN_DP_Unique_Useful_CO.vec.json_entities_vecReviews_NEW_OUTPUT_11_WN_DP_Unique_Useful_CO.txt,,,,OUT_Lower_Uppdated_embedding_Wikipedia_WN_DP_Unique_Useful.vec.json_entities_vecWikipedia_WN_DP_Unique_Useful.txt,OUT_CO_SWAP_NEW_embedding_Wikipedia_WN_DP_Unique_Useful_CO.vec.json_entities_vecWikipedia_WN_DP_Unique_Useful_CO.txt
56,gram6-nationality-adjective,1.75438596491228,2.92397660818713,,,gram6-nationality-adjective,5.83515681983953,10.8679795769511
57,gram7-past-tense,31.2820512820513,32.9487179487179,,,gram7-past-tense,19.4230769230769,22.6282051282051
58,gram8-plural,35.4838709677419,33.9717741935484,,,gram8-plural,34.6218487394958,46.9747899159664
59,gram9-plural-verbs,33.448275862069,24.0229885057471,,,gram9-plural-verbs,32.7586206896552,42.8571428571429
60,TOTAL,TOTAL,TOTAL,,,TOTAL,TOTAL,TOTAL
61,capital-common-countries,506,506,,,capital-common-countries,506,506
62,capital-world,4524,4524,,,capital-world,4524,4524
63,city-in-state,2467,2467,,,city-in-state,2467,2467
64,currency,866,866,,,currency,866,866
65,family,506,506,,,family,506,506
66,gram1-adjective-to-adverb,992,992,,,gram1-adjective-to-adverb,992,992
67,gram2-opposite,812,812,,,gram2-opposite,812,812
68,gram3-comparative,1332,1332,,,gram3-comparative,1332,1332
69,gram4-superlative,1122,1122,,,gram4-superlative,1122,1122
70,gram5-present-participle,1056,1056,,,gram5-present-participle,1056,1056
71,gram6-nationality-adjective,1599,1599,,,gram6-nationality-adjective,1599,1599
72,gram7-past-tense,1560,1560,,,gram7-past-tense,1560,1560
73,gram8-plural,1332,1332,,,gram8-plural,1332,1332
74,gram9-plural-verbs,870,870,,,gram9-plural-verbs,870,870
75,FOUND,FOUND,FOUND,,,FOUND,FOUND,FOUND
76,capital-common-countries,132,132,,,capital-common-countries,506,506
77,capital-world,127,127,,,capital-world,2593,2593
78,city-in-state,1616,1616,,,city-in-state,2267,2267
79,currency,68,68,,,currency,338,338
80,family,420,420,,,family,420,420
81,gram1-adjective-to-adverb,992,992,,,gram1-adjective-to-adverb,992,992
82,gram2-opposite,702,702,,,gram2-opposite,552,552
83,gram3-comparative,1332,1332,,,gram3-comparative,1332,1332
84,gram4-superlative,1056,1056,,,gram4-superlative,756,756
85,gram5-present-participle,1056,1056,,,gram5-present-participle,1056,1056
86,gram6-nationality-adjective,684,684,,,gram6-nationality-adjective,1371,1371
87,gram7-past-tense,1560,1560,,,gram7-past-tense,1560,1560
88,gram8-plural,992,992,,,gram8-plural,1190,1190
89,gram9-plural-verbs,870,870,,,gram9-plural-verbs,812,812
90,CORRECT,CORRECT,CORRECT,,,CORRECT,CORRECT,CORRECT
91,capital-common-countries,8,7,,,capital-common-countries,31,66
92,capital-world,6,6,,,capital-world,89,196
93,city-in-state,65,77,,,city-in-state,79,88
94,currency,0,0,,,currency,1,2
95,family,25,33,,,family,57,73
96,gram1-adjective-to-adverb,34,83,,,gram1-adjective-to-adverb,44,55
97,gram2-opposite,12,22,,,gram2-opposite,34,22
98,gram3-comparative,277,548,,,gram3-comparative,323,236
99,gram4-superlative,155,220,,,gram4-superlative,118,123
100,gram5-present-participle,288,354,,,gram5-present-participle,320,335
101,gram6-nationality-adjective,12,20,,,gram6-nationality-adjective,80,149
102,gram7-past-tense,488,514,,,gram7-past-tense,303,353
103,gram8-plural,352,337,,,gram8-plural,412,559
104,gram9-plural-verbs,291,209,,,gram9-plural-verbs,266,348
