,A_Rev_W_reviews_word2vec_vec_15_cbow_mc_100.txt,A_Rev_W_reviews_word2vec_vec_15_sg_mc_100.txt,A_Rev_W_reviews_word2vec_vec_5_cbow_mc_100.txt,A_Rev_W_reviews_word2vec_vec_5_sg_mc_100.txt,B_Rev_G_reviews.txt_vectors_mc_100.ws_15.txt,B_Rev_G_reviews.txt_vectors_mc_100.ws_5.txt,C_Rev_DLreviews_output_res_150_it_50_mc_100_cbow.txt,C_Rev_DLreviews_output_res_150_it_50_mc_100_sg.txt,D_Rev_YL_dim150vecs_reviews_100.txt,EA_Rev_OL_Reviews_WN.txt,EA_Rev_OL_Reviews_WN_Unique.txt,E_Rev_OL_Reviews_DP_Unique.txt,E_Rev_OL_Reviews_DP_Unique_Useful.txt,E_Rev_OL_Reviews_WN_DP.txt,E_Rev_OL_Reviews_WN_DP_Unique.txt,E_Rev_OL_Reviews_WN_DP_Unique_Useful.txt,Eval_Dataset,FA_Rev_OL_reviewsUD_WN.txt,FA_Rev_OL_reviewsUD_WN_Unique.txt,F_Rev_OL_reviewsUD_DP_Unique.txt,F_Rev_OL_reviewsUD_DP_Unique_Useful.txt,F_Rev_OL_reviewsUD_WN_DP_Unique.txt,F_Rev_OL_reviewsUD_WN_DP_Unique_Useful.txt,G_Rev_OL_Reviews_WN_DP_Unique_Useful_L2.txt,G_Rev_OL_reviewsUD_WN_DP_Unique_Useful_L2.txt
24,0.49147,0.37119,0.46372,0.38054,0.3578,0.35385,0.21118,0.12202,0.3827,0.4923,0.47175,0.45182,0.53142,0.44148,0.4122,0.47378,2017_track5.en-en_FYB,0.48401,0.49726,0.43192,0.53873,0.41257,0.50383,0.52119,0.51858
25,0.05518,0.03987,0.04988,0.04085,0.04089,0.04194,0.0137,0.02599,0.05271,0.04827,0.05075,0.04294,0.05275,0.06044,0.05641,0.05349,2018_MSRpar_FYB,0.05994,0.05876,0.04387,0.04863,0.05895,0.04899,0.0537,0.04216
26,0.58681,0.51339,0.56327,0.52289,0.48712,0.47122,0.40277,0.33996,0.54731,0.44477,0.43979,0.57618,0.59092,0.57158,0.57321,0.59085,SICK__FYC,0.42973,0.42573,0.5777,0.59437,0.59891,0.57957,0.63403,0.63991
27,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS
28,0.29642857142857143,0.39285714285714285,0.3107142857142857,0.26071428571428573,0.44285714285714284,0.44642857142857145,0.37857142857142856,0.2357142857142857,0.7892857142857143,0.7120611018966782,0.6436641521433094,0.5609160566827607,0.0387786277619546,0.7154198806792097,0.6598473590045976,0.6042748373299854,EN-MC-30.txt,0.606717585535463,0.6616794201587057,0.39603055281303245,0.32000001491754665,0.5917557527769135,0.7056488878572998,0.7068702619600387,0.6314504111159221
29,0.4344380832209222,0.42825696060857493,0.4150988388747049,0.4268905052144664,0.34649180575946353,0.29131682791372265,0.01510126221240043,0.20683717283763595,0.4801048013828133,0.41565239632252043,0.4645611761533338,0.36798201545271036,0.38298622639015345,0.5238692412822274,0.5102210121872037,0.536354069486754,EN-MEN-TR-3k.txt,0.41490446729992675,0.4525353122623358,0.4079197073244797,0.40324106235988616,0.5104409422753772,0.5463336410779076,0.6139743221133149,0.608634417044682
30,0.4724492800357472,0.4051250344704492,0.5132939733865663,0.48092299178461373,0.3335479930161414,0.18031982089517892,-0.17514148059067916,0.12426155470110267,0.45869355092516034,0.36335848851337,0.3993698439555642,0.4296732104482037,0.3986112317167476,0.4824211102262281,0.454219348537842,0.5186894847935563,EN-MTurk-287.txt,0.4183719442428386,0.314939331895497,0.35605481661640465,0.3508857561902889,0.4454222602506244,0.5413726400456443,0.5590155149806313,0.5158931167120985
31,0.3418733138719778,0.3671508359168609,0.3202200300707537,0.35086316081351393,0.2796950039687461,0.21929626136368893,0.06522022079936776,0.0945407780850969,0.4634177838424886,0.5234966342461507,0.518015376671692,0.2931531786358233,0.31301650987600577,0.5250306758255101,0.4902357158958188,0.5120921329438292,EN-MTurk-771.txt,0.48312929924922526,0.5126449048750704,0.33739826982342974,0.30540335975882843,0.5277780276671383,0.5166127203652847,0.6070413011215683,0.6103337353568777
32,0.3922924901185771,0.4782608695652174,0.40810276679841895,0.42391304347826086,0.25296442687747034,0.25691699604743085,-0.08538461538461538,0.42846153846153845,0.6392307692307693,0.6872666279883047,0.6292548307281896,0.4254198465741779,-0.03438136989358816,0.7012284224781459,0.6234825125928547,0.5584357026053002,EN-RG-65.txt,0.6091238712312093,0.6179266563875949,0.26917041004833286,0.4060104268441145,0.622039433059021,0.5849162120511487,0.6871583970232672,0.6775979951116189
33,0.5284125466973286,0.5182773842571645,0.5524265852372422,0.533680695094728,0.49077546387517273,0.4550179997704765,0.06850919002658966,0.056878156501859636,0.54967566491804,0.21977061458382732,0.21367418796430343,0.2846840991637768,0.2984418926914635,0.3971350404574036,0.3882108133126684,0.3908244196953,EN-RW-STANFORD.txt,0.2413025989525777,0.2119370610941536,0.3045476155461786,0.28020382144585637,0.36309568551359706,0.38070418271517975,0.4229814297878298,0.40868575545742447
34,0.1648278203893172,0.1326652879924869,0.15865559739793664,0.1425647700944284,0.13211681270432274,0.13535577886513975,0.03163877242944099,-0.054831643748592555,0.3301027305056307,0.49106313683959923,0.47937220518755946,0.06040149286703649,0.06274135844627486,0.30543605801117696,0.3038364148972946,0.30326772957730574,EN-SIMLEX-999.txt,0.4725815598507123,0.46070280350489634,0.05085181710218801,0.10798385004322679,0.23016639630641925,0.27807185027954795,0.42441534326332847,0.42900197774705523
35,0.1736756321203332,0.13961133831904457,0.172090731415625,0.15646209638232242,0.14529407033745134,0.13191307930376997,0.019885726497167144,-0.03091388876884909,0.31346243066399154,0.5470594705702676,0.5685577734627314,0.08699863285668154,0.08006130029885457,0.37439172127696,0.34100376722829945,0.37602910996146904,EN-SimVerb-3500.txt,0.54334302555776,0.5495816090116304,0.0750897220749565,0.07175176225872289,0.3157160859052146,0.37650337727494576,0.46110611320875167,0.49159708822072523
36,0.1931481036209475,0.19873702033152704,0.20422784489758322,0.24034210277292437,0.08368194138740688,0.02051293584162977,-0.09298434642636981,0.12691955737694255,0.41137743438561153,0.2487414236036974,0.27843288078619866,0.27205764773699614,0.2826077527970233,0.273629653641447,0.2783076569872666,0.27265022464265687,EN-VERB-143.txt,0.26911041618355913,0.30796333594150155,0.2730795633818525,0.11010302521102558,0.24867657556496472,0.29423344084430636,0.302952147844952,0.3467983665853108
37,0.34021996440391633,0.33826330985510117,0.35290897102784125,0.36307345292150117,0.32151508304525683,0.2904951743835578,0.1453320104044746,0.04347533579072245,0.3925036319816604,0.39281443214559936,0.40283341870364525,0.3140236644050383,0.25275502754224827,0.42563821747217273,0.4483309942998829,0.43841026920203485,EN-WS-353-ALL.txt,0.4120384049996969,0.4306416057492307,0.3419653862555081,0.3252653956423513,0.4223899688076433,0.4687046456192542,0.5472267932733571,0.5517276332934268
38,0.2661031293536394,0.260267311025827,0.26585668432290405,0.2719619492176537,0.2680500450964484,0.24529002502460592,0.11114928306763917,0.011118975986409497,0.28483362640944293,0.19731088336357236,0.28806610760580637,0.19648483609547723,0.12539644110958087,0.2523808656240969,0.28721096374737237,0.3000307241856606,EN-WS-353-REL.txt,0.22905329077309047,0.27795085058138896,0.3061301585807654,0.2267339473092986,0.302110883813616,0.3333374431978043,0.41547267926151005,0.4215701410064224
39,0.4358903351677137,0.4216329019151794,0.47334678398414,0.48933839951529384,0.40555001363251925,0.3544341254527377,0.17507114773493362,0.10651756154643176,0.5882765679601362,0.5739089105580917,0.5290157366829481,0.48457218389696727,0.3679947982960885,0.5803641112752702,0.5817489853851399,0.5891270925484946,EN-WS-353-SIM.txt,0.5254516921683949,0.578243587099608,0.4087868516645898,0.41024683410285506,0.5757094526771644,0.6399188424057205,0.6679898084826701,0.7079546413576088
40,0.05845119942037404,0.17537249615941516,0.07179311561526058,0.1790764842248511,0.17198977236496094,0.19671767228140433,-0.008661368192231188,0.11122600442804434,0.2825594189172664,0.7033804444095307,0.706358343278028,0.010067785855165103,0.15966513294434073,0.5896898263059821,0.45720259347720155,0.5616412383148662,EN-YP-130.txt,0.7143042847305784,0.7497025027300614,0.27009615904318296,0.1481120560073453,0.5701908079164364,0.5598669373919901,0.6018721398589254,0.7309936884628688
41,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC
42,0.38321167883211676,0.37358490566037733,0.4052044609665427,0.4059040590405904,0.3678571428571429,0.34843205574912894,0.28502415458937197,0.34299516908212563,0.7575757575757576,0.5182724252491694,0.5049833887043189,0.43853820598006643,0.42857142857142855,0.5348837209302325,0.4717607973421927,0.44518272425249167,ap,0.5083056478405316,0.53156146179402,0.4850498338870432,0.42524916943521596,0.4983388704318937,0.4717607973421927,0.5016611295681063,0.5016611295681063
43,0.4312818139750116,0.397895743663319,0.3946124763705104,0.35764499121265375,0.3072983354673495,0.3126571668063705,0.2543612830613393,0.33314575126617896,0.8896713615023474,0.6052009456264775,0.5700776764606552,0.5275244849712935,0.5062478892266127,0.5704154002026343,0.6068895643363729,0.49476528199932457,battig,0.6575481256332321,0.5812225599459642,0.513677811550152,0.5187436676798379,0.5930428909152313,0.4978047956771361,0.5987841945288754,0.6382978723404256
44,0.45454545454545453,0.5223880597014925,0.4027777777777778,0.4647887323943662,0.43243243243243246,0.43037974683544306,0.5333333333333333,0.6444444444444445,1.0,0.7333333333333333,0.7555555555555555,0.9555555555555556,0.8,0.9111111111111111,0.8,0.9111111111111111,essli-2008,0.8666666666666667,0.8444444444444444,0.8,0.8222222222222222,0.7777777777777778,0.7555555555555555,0.9333333333333333,0.9111111111111111
45,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA
46,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,24.242424242424242,20.454545454545453,2.272727272727273,7.575757575757576,6.0606060606060606,5.303030303030303,6.0606060606060606,capital-common-countries,13.636363636363637,21.96969696969697,2.272727272727273,2.272727272727273,5.303030303030303,1.5151515151515151,6.0606060606060606,5.303030303030303
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85826771653543,27.559055118110237,4.724409448818897,3.937007874015748,3.1496062992125986,3.1496062992125986,4.724409448818897,capital-world,8.661417322834646,14.173228346456693,3.1496062992125986,4.724409448818897,3.1496062992125986,4.724409448818897,9.448818897637794,6.299212598425197
48,24.137931034482758,15.517241379310345,12.068965517241379,20.689655172413794,15.517241379310345,17.24137931034483,0.0,0.0,4.444444444444445,11.695544554455445,14.542079207920793,2.9084158415841586,3.2797029702970297,6.930693069306931,6.373762376237623,4.022277227722772,city-in-state,10.952970297029703,10.705445544554456,2.9084158415841586,2.042079207920792,6.497524752475248,3.032178217821782,13.490099009900991,6.188118811881188
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,currency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,39.04761904761905,40.95238095238095,40.0,39.523809523809526,34.76190476190476,40.95238095238095,0.36764705882352944,2.573529411764706,71.25,14.523809523809524,9.047619047619047,3.3333333333333335,2.380952380952381,6.190476190476191,10.238095238095237,5.9523809523809526,family,7.142857142857143,6.190476190476191,5.476190476190476,6.190476190476191,5.9523809523809526,9.047619047619047,17.857142857142858,24.285714285714285
51,15.517241379310345,18.226600985221676,16.25615763546798,16.502463054187192,6.0344827586206895,7.019704433497537,0.12315270935960591,0.24630541871921183,12.068965517241379,1.9153225806451613,1.4112903225806452,0.6048387096774194,0.6048387096774194,3.931451612903226,4.536290322580645,3.4274193548387095,gram1-adjective-to-adverb,4.737903225806452,3.931451612903226,0.907258064516129,1.0080645161290323,3.3266129032258065,4.133064516129032,21.27016129032258,26.20967741935484
52,14.619883040935672,13.450292397660819,16.374269005847953,19.005847953216374,10.526315789473685,8.771929824561404,0.0,0.2631578947368421,37.10526315789474,1.1396011396011396,0.7122507122507122,1.2820512820512822,1.1396011396011396,6.267806267806268,1.8518518518518519,1.7094017094017093,gram2-opposite,1.2820512820512822,0.5698005698005698,0.7122507122507122,0.5698005698005698,1.8518518518518519,3.8461538461538463,10.968660968660968,8.68945868945869
53,47.372372372372375,39.189189189189186,54.27927927927928,50.97597597597598,32.432432432432435,24.84984984984985,0.07507507507507508,1.0510510510510511,94.29429429429429,45.04504504504504,55.55555555555556,4.42942942942943,3.2282282282282284,29.504504504504503,18.46846846846847,20.795795795795797,gram3-comparative,50.07507507507508,48.273273273273276,15.165165165165165,11.636636636636636,25.525525525525527,23.94894894894895,60.66066066066066,63.288288288288285
54,50.76923076923077,39.53846153846154,58.92307692307692,50.76923076923077,38.46153846153846,33.23076923076923,0.0,0.0,85.6923076923077,40.05681818181818,41.95075757575758,1.0416666666666667,1.7045454545454546,12.594696969696969,7.859848484848484,14.678030303030303,gram4-superlative,39.20454545454545,41.666666666666664,1.3257575757575757,1.1363636363636365,5.681818181818182,10.227272727272727,41.47727272727273,47.72727272727273
55,34.13793103448276,32.41379310344828,36.32183908045977,35.632183908045974,24.942528735632184,15.402298850574713,0.11494252873563218,9.080459770114942,62.41379310344828,62.59469696969697,52.65151515151515,4.829545454545454,6.534090909090909,32.57575757575758,20.170454545454547,27.272727272727273,gram5-present-participle,53.97727272727273,50.28409090909091,3.5984848484848486,3.125,19.696969696969695,27.272727272727273,60.416666666666664,65.05681818181819
56,48.529411764705884,54.411764705882355,50.0,52.94117647058823,42.64705882352941,35.294117647058826,0.0,0.0,32.03125,0.5847953216374269,0.43859649122807015,0.8771929824561403,0.7309941520467836,1.4619883040935673,1.4619883040935673,1.7543859649122806,gram6-nationality-adjective,0.29239766081871343,0.29239766081871343,0.5847953216374269,0.5847953216374269,1.4619883040935673,1.4619883040935673,5.2631578947368425,4.093567251461988
57,44.22348484848485,41.571969696969695,46.40151515151515,44.03409090909091,25.568181818181817,21.306818181818183,0.0,1.6934046345811051,65.59714795008912,62.43589743589744,67.24358974358974,2.5,2.1153846153846154,29.03846153846154,28.141025641025642,31.28205128205128,gram7-past-tense,57.82051282051282,67.88461538461539,4.871794871794871,4.166666666666667,23.846153846153847,31.08974358974359,75.83333333333333,69.23076923076923
58,19.48051948051948,20.12987012987013,18.614718614718615,18.614718614718615,12.987012987012987,12.121212121212121,0.3952569169960474,10.671936758893281,71.93675889328063,85.68548387096774,84.97983870967742,1.814516129032258,2.0161290322580645,32.86290322580645,29.233870967741936,35.483870967741936,gram8-plural,73.28629032258064,73.48790322580645,2.9233870967741935,4.334677419354839,29.33467741935484,44.556451612903224,76.00806451612904,69.45564516129032
59,43.0,35.333333333333336,45.166666666666664,43.333333333333336,29.833333333333332,30.0,0.5698005698005698,2.9914529914529915,92.45014245014245,67.47126436781609,66.0919540229885,4.252873563218391,4.252873563218391,34.252873563218394,18.735632183908045,33.44827586206897,gram9-plural-verbs,60.45977011494253,62.06896551724138,3.5632183908045976,2.1839080459770117,24.942528735632184,34.252873563218394,67.1264367816092,66.7816091954023
60,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
61,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,capital-common-countries,506,506,506,506,506,506,506,506
62,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,capital-world,4524,4524,4524,4524,4524,4524,4524,4524
63,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,city-in-state,2467,2467,2467,2467,2467,2467,2467,2467
64,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,currency,866,866,866,866,866,866,866,866
65,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,family,506,506,506,506,506,506,506,506
66,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,gram1-adjective-to-adverb,992,992,992,992,992,992,992,992
67,812,812,812,812,812,812,812,812,812,812,812,812,812,812,812,812,gram2-opposite,812,812,812,812,812,812,812,812
68,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,gram3-comparative,1332,1332,1332,1332,1332,1332,1332,1332
69,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,gram4-superlative,1122,1122,1122,1122,1122,1122,1122,1122
70,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,gram5-present-participle,1056,1056,1056,1056,1056,1056,1056,1056
71,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,gram6-nationality-adjective,1599,1599,1599,1599,1599,1599,1599,1599
72,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,gram7-past-tense,1560,1560,1560,1560,1560,1560,1560,1560
73,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,gram8-plural,1332,1332,1332,1332,1332,1332,1332,1332
74,870,870,870,870,870,870,870,870,870,870,870,870,870,870,870,870,gram9-plural-verbs,870,870,870,870,870,870,870,870
75,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND
76,2,2,2,2,2,2,12,12,6,132,132,132,132,132,132,132,capital-common-countries,132,132,132,132,132,132,132,132
77,1,1,1,1,1,1,8,8,6,127,127,127,127,127,127,127,capital-world,127,127,127,127,127,127,127,127
78,58,58,58,58,58,58,180,180,180,1616,1616,1616,1616,1616,1616,1616,city-in-state,1616,1616,1616,1616,1616,1616,1616,1616
79,18,18,18,18,18,18,18,18,18,68,68,68,68,68,68,68,currency,68,68,68,68,68,68,68,68
80,210,210,210,210,210,210,272,272,240,420,420,420,420,420,420,420,family,420,420,420,420,420,420,420,420
81,812,812,812,812,812,812,812,812,812,992,992,992,992,992,992,992,gram1-adjective-to-adverb,992,992,992,992,992,992,992,992
82,342,342,342,342,342,342,380,380,380,702,702,702,702,702,702,702,gram2-opposite,702,702,702,702,702,702,702,702
83,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,gram3-comparative,1332,1332,1332,1332,1332,1332,1332,1332
84,650,650,650,650,650,650,650,650,650,1056,1056,1056,1056,1056,1056,1056,gram4-superlative,1056,1056,1056,1056,1056,1056,1056,1056
85,870,870,870,870,870,870,870,870,870,1056,1056,1056,1056,1056,1056,1056,gram5-present-participle,1056,1056,1056,1056,1056,1056,1056,1056
86,68,68,68,68,68,68,128,128,128,684,684,684,684,684,684,684,gram6-nationality-adjective,684,684,684,684,684,684,684,684
87,1056,1056,1056,1056,1056,1056,1122,1122,1122,1560,1560,1560,1560,1560,1560,1560,gram7-past-tense,1560,1560,1560,1560,1560,1560,1560,1560
88,462,462,462,462,462,462,506,506,506,992,992,992,992,992,992,992,gram8-plural,992,992,992,992,992,992,992,992
89,600,600,600,600,600,600,702,702,702,870,870,870,870,870,870,870,gram9-plural-verbs,870,870,870,870,870,870,870,870
90,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
91,0,0,0,0,0,1,0,0,0,32,27,3,10,8,7,8,capital-common-countries,18,29,3,3,7,2,8,7
