postediting	2016	0010	3	"It would be a mistake to underestimate her.	"It would be a mistake to the underestimate.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0170	1	We have already led the negotiations about that possibility several times with all the Czech mobile operators.	The problem is that the commercial state of all Czech mobile operators prohibits such a resale.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0184	2	But given the attitude of mobile operators that are, the indifference of the Czech regulators is disconcerting.	On the contrary, the mobile operators like to complain that the Czech market is extremely competetive.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0194	3	The sexes have imposed a ban on Glitter six months after he had spoken to the authorities who have under control, its intention to go to Spain from France.	The magistrates have imposed a ban of six months on Glitter after he had spoken to the authorities who had him under control, of his intention to go to Spain via France.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0202	1	They say so much about it, I do know, many things are not true.	But I do not know how to prove it.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0207	1	The sum, however, must not be paid at once, but in installments.	In 2010, it will be necessary to pay the interests of the whole year, which may double.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0240	5	The symptoms of hepatitis A appear two to three weeks after the consumption of food contaminated, in general, accompanied by a bad state general, of weakness, upset stomach and nausea.	The symptoms of hepatitis A appear two to three weeks after the consumption of contaminated food, in general, accompanied by general bad health, weakness, upset stomach and nausea.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0248	5	This sentence was spoken by the actress Sally Field, who has worked with him in 'Absence of Malice ", and illustrates the despair of American cinema, and America in general, faced with the striking idea that Newman is no longer in the world.	This sentence is the actress Sally field, who has worked with him in 'absence of malice ", and illustrates the despair of American cinema, and America, faced with the idea striking that Newman is no longer in the world.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0250	4	The project of the motorway happened just when the girl the most famous of Eatonville had recovered its appeal.	The project of the motorway happened just when the most famous girl of Eatonville had recovered her appeal.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0256	3	With a few exceptions, the street has always the same look.	Has few exceptions, the street has always the same pace.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0274	2	This is what we think will bring in more customers.	This is what we think is the most contributions from the point of view of customers.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0278	3	With this film Garci does not expect to win any prizes.	With this film Garci does not expect a price.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0279	5	What good to facilitate the advent of such a competitor?	What good then to facilitate the advent of such a competitor?	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0289	2	Soccer - The Impact in the semi-finals	The impact will be measured in Vancouver Whitecaps in the semi-finals.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0291	5	This amount would be twice that produce nuclear power plants.	This amount would be twice that produced by nuclear power plants.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0299	2	The phrase 'You do not consider "is enshrined in majuscules on the registration plate.	The phrase "You do not think" is inscribed in capital letters on the registration plate.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0312	3	On the opposite side, Antonio Damasio for example believes that the sensations resultant from primitive activities are born in the areas of the corporeal feeling of the cortex and the core of the brain, like Jaak Pankseep who focuses more on the just the core of the brain.	The opposite, Antonio Damasio for example believe that the sensations from primitive activities are born in the areas of the body feeling of the cortex and core of the brain, like Jaak Pankseep however, which focuses more on the brain syllabus.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0315	4	On the screen of the machine they will find all the information about the validity of their document.	That is, on the screen of the apparatus, that will show the information about the validity of their document.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0371	3	The total immersion in the English language focusses on the almost constant use of English in teaching.	The dumping total in English focusing on the use almost constant of English in the investigation.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0384	5	The photo present in this article, was taken earlier this month in one of the rooms of rest reserved for employees to Microsoft's Redmond.	The photo in this article, was taken earlier this month in one of the rooms reserved for employees of Microsoft at Redmond.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0408	2	The most prestigious prize in fashion	The price the most prestigious fashion	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0437	4	Today we are starting, in March we end, in June we will make the sums.	Today we are starting in March we end, in June we learn the sums.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0440	0	Who can most can say the least.	Not many.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0448	5	The opposition does not provide for actions of protests in view of the results. It is trying rather to get its message on the need for economic reforms to the voters.	The opposition does not provide for actions of protests in view of the results. It is trying rather to get his message on the need for economic reforms to the voters.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0449	0	Step towards	Not in sight	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0464	5	The eye of the bee plays an important role, since it is able to see in all directions, in an angle of 300 degrees.	The eye to aspects of the bee plays an important role, since it is able to see in all directions, in a 300 degrees.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0480	3	Will it be a birthday without a genuine party.	Will it be a birthday party without genuine.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0491	4	There are no precise figures: we are talking about 50 000 people who make their way through the Alps and drown themselves in tankards of beer.10 percent of visitors would have specially come from Italy this weekend.	There is no precise figures; we talk about 50 000 who are under way through the Alps and collapse in the newsstand to beer, 10 percent of visitors would express come to Italy this weekend.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0492	1	Paul Newman was one of them. "	Paul Newman the magnificent	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0498	0	However, I do not think so.	But I do not know how to prove it.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0533	0	"Yes, we have a serious problem.	"We have made great progress.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0553	5	The electronic vouchers are valid from tomorrow not only in the capital, but also in the surrounding area of the city.	The electronic vouchers are valid from tomorrow not only in the capital, but also in the surrounding areas of the city.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0578	1	Be careful of grapefruit, orange and apple juice.	Attention to the fungus orange juice, and bone.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0585	2	Or heels of trial of clothes.	Or heels of transgressing or clothes.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0615	1	They have not been that according to the opposition.	If Members of the opposition are in parliament it is because they have been appointed, not elected.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0617	3	For them, they are books - bills the market to Józsefváros, while fabriquaient stamps to Kiskunhalas.	For these they obtained invoice books from the market at Józsefváros, while the manufactured stamps at Kiskunhalas.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0626	5	The total amount of aid to the system should be divided into two parts.	The total amount to the aid of the system should be divided into two parts.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0637	3	To ensure that no one would know, five fictitious bills received from the society Works Team Kft. were presented to the TMA.	To ensure that it does not know, five bills fictitious received of society Works Team Kft. have been presented to the MRI.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0639	1	The legislators thus refused to support President George Bush's call to the project.	Renièrent legislators and supports the call to the project of President George Bush.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0643	5	The process must happen in the blink of an eye.	The process must be held in a heartbeat.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0644	5	With a goal and simple methods, SV Hamburg reaches top of the league table.	With a goal and simple methods, the SV Hamburg becomes first of the league.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0654	4	The stars of the flamenco like Diego El Cigala, Chano Lobato, Cristina Hoyos, Enrique Morente, El Lebrijano, Antonio Canales, Vicente Amigo, among others, are part of the selection made from around seventy artists photographed.	The stars of the intoxicating spirit of flamenco as Diego El Cigala, Chano Lobato, Cristina Hoyos, Enrique Morente, El Lebrijano, Antonio Canales, Vicente Amigo, among others, are part of the selection made from around seventy artists photographed.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0663	3	No, sir I am Spanish but I have lived here two years.	No, not Mr, I am Spanish but I have lived here thinking two years.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0666	1	So many other Paul Newman have gone to history.	Paul Newman was part of that. "	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0677	0	It seems to be clear that it is better to buy a phone.	It is difficult to say, if such a concept would be likely to work at home.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0699	4	You trouves in front of people, of characters that sometimes you do not know or are you just a few minutes to make them a photograph.	You find yourself in front of people, of characters that sometimes you do not know or give you just a few minutes to photograph them.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0706	5	There was nothing left but to collect the hostages", when suddenly, "this surprise" occurred.	There is nothing left to collect the hostages', when suddenly, "this surprise" occurred.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0714	4	The trial subjects have spent half an hour in an MRI scan, meanwhile, have received 20 shock in four part to post, while watching the paint religious issue, is the one to issue more general.	The subjects spent half an hour in an MRI scanner, during which they received 20 shocks in four part installments, while watching either the religious painting, or the more general one.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0722	0	"People were always happy to see Zora" he said.	"I am so happy," he said to reporters.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0738	0	It is difficult to say, if such a concept would be likely to walk at home.	For me, it was clear that I had to be travel a day.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0757	4	The witness said that at 4.30 p.m., Locklear "based on substance on the accelerator, doing a lot of noise, trying to get out of the car garage, and going backwards several times, she roula on his sunglasses".	The witness said that at 4.30 p.m., Locklear "pushed hard on accelerator, doing a lot of noise, trying to back out of the garage, and going backwards several times; she was driving with her sunglasses".	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0765	3	Abuse of a father-" which led to suicide "	Abuse of a step-father-" which led to suicide "	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0788	3	The shame, Mr Toews, is in this renouncing, and not elsewhere.	Shame, Mr Toews, it is, in this instance, and not elsewhere.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0791	4	This case is one of the many accusations that her.	This is one of the many accusations against her.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0797	5	The interests of 2009 cover seven months, from the end of September this year till the end of March.	The interests of 2009 cover seven months to the end of September this year until the end of March.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0806	0	To imitate the functions of the eye, engineers have put forth the idea of a laser rangefinder.	Portraits of which, thanks to the choice of the camera and equipment, given the photograph classic.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0818	5	UNIPOL: Court ROME, DANILO COPPOLA remains A GROTTAFERRATA.	UNIPOL: Court ROME, DANILO COPPOLA remains in GROTTAFERRATA.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0841	5	This whole process must reflect what the bee does to avoid other bees.	This whole process must reflect what the bee done to avoid the other bees.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0843	5	They are, indeed, free of the relatively high costs of construction, operation and maintenance the mobile network.	They are, indeed, free of the costs of construction, operation and maintains the mobile network, relatively high.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0876	2	When the agreement was announced, one would have thought a truly revolutionary step.	When the agreement was announced, a true not revolutionary.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0900	3	When we will not be the most expensive	When we will no longer be the most expensive country	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited
postediting	2016	0904	3	"I wanted to re-commemorate her because I think it is these women who have had an enormous influence in their time and now no one knows and highlights their work," says Bayón.	"I wanted to the back because I think it is these women who have an enormous influence in their time and now no one knows and highlights his work," says Bayón.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0928	2	They say so much about he, I know, many things are not true.	However, I do not think so.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
postediting	2016	0938	3	Generosity, love of life were vibrants features of the actor.	Generosity, love of life are vibrants features of the actor disappeared.	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target_postedited	EAMT11 post-editting dataset (http://staffwww.dcs.shef.ac.uk/people/L.Specia/resources) target
